id,name,role,row,hp,atk,mag,def,res,spd,atk_crit,mag_crit,charge_rate,evade,charge_action,charge_action_power,charge_action_rank,charge_action_target,charge_action_status,starting_unit,rarity,affinity_fire,affinity_water,affinity_earth,affinity_air,affinity_light,affinity_dark,affinity_body,affinity_spirit,design_note
kesh,Kesh,traveler,front,430,26,18,20,16,20,0.05,0.05,1,0.03,oath,4.20,1.80,foe,,TRUE,common,0,0,0,0,0,0,3,-2,Starting unit. Balanced physical attacker. Highest-power charge action in the game. 20-item batch (Group E): a slight Spirit weakness balances the Body strength.
ansa,Ansa,healer,back,320,14,26,14,22,19,0.04,0.06,1,0.04,hearthlight,2.40,1.65,allAllies,,FALSE,common,0,0,0,0,2,-2,0,5,First recruit. Party heal plus cleanse. Back row so takes x0.70 physical. 20-item batch (Group E): Dark weakness opposes the Light strength.
dorrek,Dorrek,tank,front,560,22,10,30,20,17,0.04,0.03,1,0.02,vowofstone,,1.55,allAllies,warded,FALSE,common,0,0,2,-2,0,0,4,0,Highest HP and DEF, and the roster's strongest Body affinity. Charge action taunts for 3. 20-item batch (Group E): Air weakness opposes the Earth strength - the lumbering tank caught by quick strikes.
vey,Vey,rogue,front,300,24,12,14,12,25,0.12,0.04,1,0.10,ninefold,0.48,1.90,foe,,FALSE,common,0,0,-2,3,0,0,1,0,Fastest unit (SPD 25) and highest crit (0.12). 9-hit charge action rolls crit per hit. 20-item batch (Group E): Earth weakness opposes the Air strength.
mirel,Mirel,mage,back,270,12,30,12,20,18,0.03,0.10,1,0.04,ashfall,1.90,2.00,allFoes,burning,FALSE,common,4,-3,0,0,0,0,0,0,Highest MAG. AoE charge action with a DoT. Lowest HP. 20-item batch (Group E): Water weakness opposes the Fire strength - a real vulnerability given how fragile Mirel already is.
skarn,Skarn,berserker,front,425,31,13,16,16,28,0.11,0.03,1,0.05,bloodfury,3.60,1.70,foe,,FALSE,rare,2,-2,0,0,0,0,3,0,"Roster expansion (5->10). Reckless crit-fisher - heavy crit bonus plus partial lifesteal on its charge. Rare: stats and charge action (Bloodfury) both scaled up 25% over the original baseline. 20-item batch (Group E): Water weakness opposes the Fire strength."
sorin,Sorin,battlemage,front,475,25,25,21,19,25,0.06,0.06,1,0.04,spellbrand,3.20,1.60,foe,frail,FALSE,rare,-2,2,0,0,0,0,2,0,"Roster expansion. Armor-piercing melee charge that also applies Frail - melee delivery, magic payload. Rare: stats and charge action (Spellbrand) both scaled up 25%. 20-item batch (Group E): Fire weakness opposes the Water strength."
nyra,Nyra,warden,back,388,19,26,21,25,23,0.04,0.07,1,0.04,wardcurse,0.65,1.75,allFoes,enfeebled,FALSE,rare,0,0,0,0,-2,3,0,1,"Roster expansion. AoE charge that Enfeebles every foe - shuts down enemy offense from the back line. Rare: stats and charge action (Warding Curse) both scaled up 25%. 20-item batch (Group E): Light weakness opposes the Dark strength."
brenn,Brenn,sentinel,front,600,16,14,23,24,26,0.04,0.04,1,0.09,aegisstep,,1.45,self,blurred,FALSE,rare,0,0,2,0,0,0,3,-2,"Roster expansion. Self Blurred plus self-taunt on its charge - the dodge-tank answer to Vow of Stone. Rare: stats and charge action (Aegis Step) both scaled up 25%. 20-item batch (Group E): Spirit weakness opposes the Body strength."
sael,Sael,courier,back,363,15,30,15,20,29,0.03,0.07,1,0.06,quicksilver,1.40,1.55,allAllies,hasted,FALSE,rare,0,0,0,2,0,0,-2,2,"Roster expansion. Light party heal plus Hasted on its charge - trades raw healing for tempo. Rare: stats and charge action (Quicksilver Blessing) both scaled up 25%. 20-item batch (Group E): Body weakness opposes the Spirit strength - a nimble courier, physically fragile."
tovan,Tovan,bruiser,front,460,27,12,18,13,19,0.07,0.03,1,0.03,pyreblade,3.80,1.75,foe,burning,FALSE,common,15,-15,0,0,0,0,0,0,Elemental batch. Fire bruiser - strong Fire affinity and a hard Water weakness.
ilse,Ilse,tidecaller,back,330,12,26,13,21,19,0.03,0.07,1,0.04,tidebloom,2.40,1.65,allAllies,regen,FALSE,common,-15,15,0,0,0,0,0,0,Elemental batch. Water healer - party heal + Regen. Hard Fire weakness.
garrow,Garrow,bulwark,front,650,24,12,34,24,20,0.04,0.03,1,0.02,landslide,1.50,1.70,allFoes,slowed,FALSE,rare,0,0,15,-15,0,0,0,0,Elemental batch. Earth tank - AoE Slow + taunt. Hard Air weakness.
wren,Wren,skirmisher,front,300,25,13,12,13,27,0.09,0.04,1,0.08,skyfall,0.85,1.80,foe,,FALSE,common,0,0,-15,15,0,0,0,0,Elemental batch. Fast Air skirmisher - five-hit charge. Hard Earth weakness.
lumen,Lumen,lightbearer,back,380,13,31,16,26,22,0.03,0.08,1,0.04,dawnbreak,2.10,1.75,allFoes,blinded,FALSE,rare,0,0,0,0,15,-15,0,0,Elemental batch. Light caster - AoE Blind. Hard Dark weakness.
vesh,Vesh,shade,front,360,32,18,15,15,30,0.12,0.05,1,0.08,nightfall,4.60,1.70,foe,,FALSE,rare,0,0,0,0,-15,15,0,0,Elemental batch. Dark assassin - huge crit burst. Hard Light weakness.
